Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status,Top Notes (product.metafields.custom.top_notes),Heart Notes (product.metafields.custom.heart_notes),Base Notes (product.metafields.custom.base_notes)
the-one-fragrance,The One — Eau de Parfum,"<p>Strength, confidence and quiet dominance. The One opens bright, turns peppered and green at its heart, and settles into a commanding base of amber and oud wood.</p><p><strong>Scent family:</strong> Oud & Spicy<br><strong>Top notes:</strong> Bergamot, Citrus<br><strong>Heart notes:</strong> Black Pepper, Patchouli, Lavender, Geranium<br><strong>Base notes:</strong> Vetiver, Amber, Oud</p><p>100&nbsp;mL unisex eau de parfum, composed at a high concentration for all-day wear. Crafted in Dubai where French artistry meets Arabian perfumery.</p>",Xplor Scent,Eau de Parfum,"fragrance, eau de parfum, unisex, oud & spicy",TRUE,Title,100 mL,XS-EDP-THEONE,500,deny,manual,,TRUE,TRUE,The One Eau de Parfum 100mL | Unisex Oud & Spicy Fragrance | Xplor Scent,"The One by Xplor Scent: a unisex oud &amp; spicy eau de parfum with bergamot, black pepper and oud wood. 100mL, crafted in Dubai, 8+ hours of wear.",active,"Bergamot, Citrus","Black Pepper, Patchouli, Lavender, Geranium","Vetiver, Amber, Oud"
sensation-fragrance,Sensation — Eau de Parfum,"<p>A rush of Mediterranean citrus cooled by garden herbs. Sensation is crisp, clean energy that softens into warm sandalwood by evening.</p><p><strong>Scent family:</strong> Citrus & Aromatic<br><strong>Top notes:</strong> Lemon, Lime, Bergamot<br><strong>Heart notes:</strong> Lavender, Sage, Mint<br><strong>Base notes:</strong> Sandalwood, Amber</p><p>100&nbsp;mL unisex eau de parfum, composed at a high concentration for all-day wear. Crafted in Dubai where French artistry meets Arabian perfumery.</p>",Xplor Scent,Eau de Parfum,"fragrance, eau de parfum, unisex, citrus & aromatic",TRUE,Title,100 mL,XS-EDP-SENSATION,500,deny,manual,,TRUE,TRUE,Sensation Eau de Parfum 100mL | Unisex Citrus & Aromatic Fragrance | Xplor Scent,"Sensation by Xplor Scent: a unisex citrus aromatic eau de parfum with lemon, lavender and sandalwood. 100mL, crafted in Dubai, all-day wear.",active,"Lemon, Lime, Bergamot","Lavender, Sage, Mint","Sandalwood, Amber"
victorious-fragrance,Victorious — Eau de Parfum,"<p>The scent of a win. Victorious sparkles with orchard fruit and bergamot over a smoky, elegant heart — finishing in vanilla, musk and ambergris.</p><p><strong>Scent family:</strong> Fruity & Vibrant<br><strong>Top notes:</strong> Pineapple, Black Currant, Apple, Bergamot<br><strong>Heart notes:</strong> Birch, Moroccan Jasmine, Patchouli, Rose<br><strong>Base notes:</strong> Oakmoss, Ambergris, Vanilla, Musk</p><p>100&nbsp;mL unisex eau de parfum, composed at a high concentration for all-day wear. Crafted in Dubai where French artistry meets Arabian perfumery.</p>",Xplor Scent,Eau de Parfum,"fragrance, eau de parfum, unisex, fruity & vibrant",TRUE,Title,100 mL,XS-EDP-VICTORIOUS,500,deny,manual,,TRUE,TRUE,Victorious Eau de Parfum 100mL | Unisex Fruity & Vibrant Fragrance | Xplor Scent,"Victorious by Xplor Scent: a unisex fruity citrus eau de parfum with apple, bergamot and vanilla. 100mL, crafted in Dubai. Best Dubai Fragrance 2024.",active,"Pineapple, Black Currant, Apple, Bergamot","Birch, Moroccan Jasmine, Patchouli, Rose","Oakmoss, Ambergris, Vanilla, Musk"
essence-of-elegance-fragrance,Essence of Elegance — Eau de Parfum,"<p>Refined sophistication in a bottle. Sparkling bergamot and grapefruit soften into regal iris and jasmine, resting on warm sandalwood with a whisper of saffron. Lasts up to 12 hours.</p><p><strong>Scent family:</strong> Floral & Woody<br><strong>Top notes:</strong> Bergamot, Grapefruit<br><strong>Heart notes:</strong> Iris, Jasmine<br><strong>Base notes:</strong> Sandalwood, Saffron</p><p>100&nbsp;mL unisex eau de parfum, composed at a high concentration for all-day wear. Crafted in Dubai where French artistry meets Arabian perfumery.</p>",Xplor Scent,Eau de Parfum,"fragrance, eau de parfum, unisex, floral & woody",TRUE,Title,100 mL,XS-EDP-ELEGANCE,500,deny,manual,,TRUE,TRUE,Essence of Elegance Eau de Parfum 100mL | Unisex Floral & Woody Fragrance | Xplor Scent,"Essence of Elegance by Xplor Scent: a unisex floral woody eau de parfum with iris, jasmine, sandalwood and saffron. 100mL, up to 12 hours of wear.",active,"Bergamot, Grapefruit","Iris, Jasmine","Sandalwood, Saffron"
true-imagination-fragrance,True Imagination — Eau de Parfum,"<p>A daydream in white florals. True Imagination lifts off with bergamot and mandarin, blooms into lily, rose and jasmine, and lingers in creamy vanilla and sandalwood.</p><p><strong>Scent family:</strong> Floral & Woody<br><strong>Top notes:</strong> Bergamot, Mandarin<br><strong>Heart notes:</strong> White Lily, Rose, Jasmine<br><strong>Base notes:</strong> Vanilla, Musk, Sandalwood</p><p>100&nbsp;mL unisex eau de parfum, composed at a high concentration for all-day wear. Crafted in Dubai where French artistry meets Arabian perfumery.</p>",Xplor Scent,Eau de Parfum,"fragrance, eau de parfum, unisex, floral & woody",TRUE,Title,100 mL,XS-EDP-IMAGINATION,500,deny,manual,,TRUE,TRUE,True Imagination Eau de Parfum 100mL | Unisex Floral & Woody Fragrance | Xplor Scent,"True Imagination by Xplor Scent: a unisex floral woody eau de parfum with jasmine, white lily and sandalwood. 100mL, crafted in Dubai.",active,"Bergamot, Mandarin","White Lily, Rose, Jasmine","Vanilla, Musk, Sandalwood"
the-one-hair-body-mist,The One — Hair & Body Mist,"<p>A lighter, refreshing expression of The One — the same signature composition in an airy hair &amp; body mist made for everyday wear and re-application whenever you like. Lasts up to 6 hours.</p><p>Pairs beautifully with the The One eau de parfum for a longer, fuller scent story.</p>",Xplor Scent,Hair & Body Mist,"mist, hair and body mist, unisex, oud & spicy",TRUE,Title,Default Title,XS-MIST-THEONE,300,deny,manual,,TRUE,TRUE,The One Hair & Body Mist | Lightweight Oud Scent | Xplor Scent,"The The One signature in a lightweight hair and body mist. Refreshing, re-appliable, up to 6 hours of wear. Crafted by Xplor Scent in Dubai.",active,,,
sensation-hair-body-mist,Sensation — Hair & Body Mist,"<p>A lighter, refreshing expression of Sensation — the same signature composition in an airy hair &amp; body mist made for everyday wear and re-application whenever you like. Lasts up to 6 hours.</p><p>Pairs beautifully with the Sensation eau de parfum for a longer, fuller scent story.</p>",Xplor Scent,Hair & Body Mist,"mist, hair and body mist, unisex, citrus & aromatic",TRUE,Title,Default Title,XS-MIST-SENSATION,300,deny,manual,,TRUE,TRUE,Sensation Hair & Body Mist | Lightweight Citrus Scent | Xplor Scent,"The Sensation signature in a lightweight hair and body mist. Refreshing, re-appliable, up to 6 hours of wear. Crafted by Xplor Scent in Dubai.",active,,,
victorious-hair-body-mist,Victorious — Hair & Body Mist,"<p>A lighter, refreshing expression of Victorious — the same signature composition in an airy hair &amp; body mist made for everyday wear and re-application whenever you like. Lasts up to 6 hours.</p><p>Pairs beautifully with the Victorious eau de parfum for a longer, fuller scent story.</p>",Xplor Scent,Hair & Body Mist,"mist, hair and body mist, unisex, fruity & vibrant",TRUE,Title,Default Title,XS-MIST-VICTORIOUS,300,deny,manual,,TRUE,TRUE,Victorious Hair & Body Mist | Lightweight Fruity Scent | Xplor Scent,"The Victorious signature in a lightweight hair and body mist. Refreshing, re-appliable, up to 6 hours of wear. Crafted by Xplor Scent in Dubai.",active,,,
true-imagination-hair-body-mist,True Imagination — Hair & Body Mist,"<p>A lighter, refreshing expression of True Imagination — the same signature composition in an airy hair &amp; body mist made for everyday wear and re-application whenever you like. Lasts up to 6 hours.</p><p>Pairs beautifully with the True Imagination eau de parfum for a longer, fuller scent story.</p>",Xplor Scent,Hair & Body Mist,"mist, hair and body mist, unisex, floral & woody",TRUE,Title,Default Title,XS-MIST-IMAGINATION,300,deny,manual,,TRUE,TRUE,True Imagination Hair & Body Mist | Lightweight Floral Scent | Xplor Scent,"The True Imagination signature in a lightweight hair and body mist. Refreshing, re-appliable, up to 6 hours of wear. Crafted by Xplor Scent in Dubai.",active,,,
the-one-fragrance-mist-set,The One — Mist & Fragrance Set,"<p>The complete The One ritual: the 100&nbsp;mL eau de parfum for depth and presence, paired with the The One hair &amp; body mist for light, everyday refreshes.</p><p>Two expressions of one signature — and a better price than buying them separately.</p>",Xplor Scent,Fragrance Set,"set, gift set, bundle, unisex, oud & spicy",TRUE,Title,Default Title,XS-SET-THEONE,800,deny,manual,,TRUE,TRUE,The One Mist & Fragrance Set | Perfume + Body Mist Duo | Xplor Scent,"The One eau de parfum and hair & body mist together in one set. The full signature, day to night. Crafted by Xplor Scent in Dubai.",active,,,
